"Player","Team","Position","Type","Team","Bid","Pr","Date (CEST)","Gameweek"
"Vladimir Coufal","WHU","D,M","Drop","One Season Wonderers","","1","Fri May 17, 2024, 12:00PM","38"
"Harvey Elliott","LIV","M,F","Claim","NOAD Athletic","16.00","1","Fri May 10, 2024, 12:00PM","37"
"Morgan Rogers","MCI/AVL","M,F","Drop","NOAD Athletic","","1","Fri May 10, 2024, 12:00PM","37"
"Levi Colwill","CHE","D","Claim","Sjeeterboys","0.00","2","Fri May 10, 2024, 12:00PM","37"
"Tosin Adarabioyo","FUL","D","Drop","Sjeeterboys","","2","Fri May 10, 2024, 12:00PM","37"
"Elijah Adebayo","LUT","F","Claim","Sjeeterboys","0.00","6","Fri May 10, 2024, 12:00PM","37"
"Chris Wood","NOT","F","Drop","Sjeeterboys","","6","Fri May 10, 2024, 12:00PM","37"
"Callum Hudson-Odoi","CHE/NOT","M,F","Claim","One Season Wonderers","26.00","3","Fri May 10, 2024, 12:00PM","37"
"Darwin Nunez","LIV","F","Drop","One Season Wonderers","","3","Fri May 10, 2024, 12:00PM","37"
"Christian Eriksen","MUN","M","Claim","Athletic Club Bapao","15.00","2","Fri May 10, 2024, 12:00PM","37"
"Ben Osborn","SHU","M","Drop","Athletic Club Bapao","","2","Fri May 10, 2024, 12:00PM","37"
"Marcus Rashford","MUN","M,F","Claim","Poor Man's Pirlo","57.00","3","Fri May 10, 2024, 12:00PM","37"
"Harvey Barnes","NEW","M,F","Drop","Poor Man's Pirlo","","3","Fri May 10, 2024, 12:00PM","37"
"Emerson Royal","TOT","D,M","Claim","Sjeeterboys","1.00","1","Fri May 10, 2024, 12:00PM","37"
"Kristoffer Ajer","BRF","D","Drop","Sjeeterboys","","1","Fri May 10, 2024, 12:00PM","37"
"Joelinton","NEW","M,F","Claim","Poor Man's Pirlo","69.00","2","Fri May 10, 2024, 12:00PM","37"
"John McGinn","AVL","M,F","Drop","Poor Man's Pirlo","","2","Fri May 10, 2024, 12:00PM","37"
"Callum Wilson","NEW","F","Claim","Poor Man's Pirlo","169.00","1","Fri May 10, 2024, 12:00PM","37"
"Idrissa Gueye","EVE","M","Drop","Poor Man's Pirlo","","1","Fri May 10, 2024, 12:00PM","37"
"Benoit Badiashile","CHE","D","Claim","Redford United","0.00","1","Fri May 10, 2024, 12:00PM","37"
"Pablo Sarabia","WOL","M,F","Drop","Redford United","","1","Fri May 10, 2024, 12:00PM","37"
"Antoine Semenyo","BOU","M,F","Claim","Klimmania","40.00","1","Fri May 10, 2024, 12:00PM","37"
"Harry Maguire","MUN","D","Drop","Klimmania","","1","Mon May 6, 2024, 10:52PM","37"
"Danny Welbeck","BHA","M,F","Claim","László Hofnár","21.00","5","Fri May 3, 2024, 12:00PM","36"
"Michael Keane","EVE","D","Drop","László Hofnár","","5","Fri May 3, 2024, 12:00PM","36"
"Ashley Young","EVE","D,M","Claim","NOAD Athletic","8.00","12","Fri May 3, 2024, 12:00PM","36"
"Santiago Bueno","WOL","D","Drop","NOAD Athletic","","12","Fri May 3, 2024, 12:00PM","36"
"Moussa Diaby","AVL","M,F","Claim","László Hofnár","14.00","4","Fri May 3, 2024, 12:00PM","36"
"Marcus Rashford","MUN","M,F","Drop","László Hofnár","","4","Fri May 3, 2024, 12:00PM","36"
"Albert Sambi Lokonga","ARS/LUT","M","Claim","Sjeeterboys","0.00","5","Fri May 3, 2024, 12:00PM","36"
"Christian Norgaard","BRF","M","Drop","Sjeeterboys","","5","Fri May 3, 2024, 12:00PM","36"
"Morgan Rogers","MCI/AVL","M,F","Claim","NOAD Athletic","6.00","10","Fri May 3, 2024, 12:00PM","36"
"Elliot Anderson","NEW","M","Drop","NOAD Athletic","","10","Fri May 3, 2024, 12:00PM","36"
"Willian","FUL","M,F","Claim","László Hofnár","16.00","3","Fri May 3, 2024, 12:00PM","36"
"Beto","EVE","F","Drop","László Hofnár","","3","Fri May 3, 2024, 12:00PM","36"
"Jayden Bogle","SHU","D,M","Claim","Nimma Koempels","0.00","4","Fri May 3, 2024, 12:00PM","36"
"Jorginho","ARS","M","Drop","Nimma Koempels","","4","Fri May 3, 2024, 12:00PM","36"
"Vladimir Coufal","WHU","D,M","Claim","One Season Wonderers","13.00","3","Fri May 3, 2024, 12:00PM","36"
"Fabian Schar","NEW","D","Drop","One Season Wonderers","","3","Fri May 3, 2024, 12:00PM","36"
"John Stones","MCI","D,M","Claim","Sjeeterboys","0.00","3","Fri May 3, 2024, 12:00PM","36"
"Ben Davies","TOT","D,M","Drop","Sjeeterboys","","3","Fri May 3, 2024, 12:00PM","36"
"Jacob Murphy","NEW","M,F","Claim","NOAD Athletic","6.00","5","Fri May 3, 2024, 12:00PM","36"
"Oliver McBurnie","SHU","F","Drop","NOAD Athletic","","5","Fri May 3, 2024, 12:00PM","36"
"Kurt Zouma","WHU","D","Claim","László Hofnár","13.00","2","Fri May 3, 2024, 12:00PM","36"
"Joel Ward","CRY","D","Drop","László Hofnár","","2","Fri May 3, 2024, 12:00PM","36"
"Andre Onana","MUN","G","Claim","Nimma Koempels","0.00","1","Fri May 3, 2024, 12:00PM","36"
"Jose Sa","WOL","G","Drop","Nimma Koempels","","1","Fri May 3, 2024, 12:00PM","36"
"Valentino Livramento","NEW","D","Claim","Poor Man's Pirlo","21.00","2","Fri May 3, 2024, 12:00PM","36"
"Adam Wharton","CRY","M","Drop","Poor Man's Pirlo","","2","Fri May 3, 2024, 12:00PM","36"
"Wes Foderingham","SHU","G","Claim","Athletic Club Bapao","4.00","1","Fri May 3, 2024, 12:00PM","36"
"Chiedozie Ogbene","LUT","M,F","Drop","Athletic Club Bapao","","1","Fri May 3, 2024, 12:00PM","36"
"Lewis Hall","CHE/NEW","D,M","Claim","László Hofnár","21.00","1","Fri May 3, 2024, 12:00PM","36"
"Zanka","BRF","D","Drop","László Hofnár","","1","Fri May 3, 2024, 12:00PM","36"
"Noni Madueke","CHE","M,F","Claim","One Season Wonderers","52.00","1","Fri May 3, 2024, 12:00PM","36"
"Antoine Semenyo","BOU","M,F","Drop","One Season Wonderers","","1","Fri May 3, 2024, 12:00PM","36"
"Arijanet Muric","BUR","G","Claim","NOAD Athletic","5.00","1","Fri May 3, 2024, 12:00PM","36"
"Ederson","MCI","G","Drop","NOAD Athletic","","1","Fri May 3, 2024, 12:00PM","36"
"Lucas Digne","AVL","D","Claim","Wilton Wankers","1.00","1","Fri May 3, 2024, 12:00PM","36"
"Konstantinos Mavropanos","ARS/WHU","D","Drop","Wilton Wankers","","1","Fri May 3, 2024, 12:00PM","36"
"Oleksandr Zinchenko","ARS","D,M","Claim","BarcelOna '53","5.00","1","Fri May 3, 2024, 12:00PM","36"
"Pervis Estupinan","BHA","D,M","Drop","BarcelOna '53","","1","Fri May 3, 2024, 12:00PM","36"
"Jack Harrison","LEE/EVE","M,F","Claim","Redford United","0.00","6","Fri Apr 26, 2024, 12:00PM","35"
"Jordan Clark","LUT","M,F","Drop","Redford United","","6","Fri Apr 26, 2024, 12:00PM","35"
"Nathaniel Clyne","CRY","D","Claim","Redford United","0.00","5","Fri Apr 26, 2024, 12:00PM","35"
"Oleksandr Zinchenko","ARS","D,M","Drop","Redford United","","5","Fri Apr 26, 2024, 12:00PM","35"
"Emil Krafth","NEW","D","Claim","Nimma Koempels","0.00","10","Fri Apr 26, 2024, 12:00PM","35"
"Nayef Aguerd","WHU","D","Drop","Nimma Koempels","","10","Fri Apr 26, 2024, 12:00PM","35"
"Thomas Kaminski","LUT","G","Claim","Redford United","0.00","2","Fri Apr 26, 2024, 12:00PM","35"
"Bart Verbruggen","BHA","G","Drop","Redford United","","2","Fri Apr 26, 2024, 12:00PM","35"
"Kristoffer Ajer","BRF","D","Claim","Sjeeterboys","2.00","5","Fri Apr 26, 2024, 12:00PM","35"
"Maxime Esteve","BUR","D","Drop","Sjeeterboys","","5","Fri Apr 26, 2024, 12:00PM","35"
"Marcos Senesi","BOU","D","Claim","NOAD Athletic","15.00","6","Fri Apr 26, 2024, 12:00PM","35"
"Reece James","CHE","D,M","Drop","NOAD Athletic","","6","Fri Apr 26, 2024, 12:00PM","35"
"Jose Sa","WOL","G","Claim","Nimma Koempels","3.00","6","Fri Apr 26, 2024, 12:00PM","35"
"Lukasz Fabianski","WHU","G","Drop","Nimma Koempels","","6","Fri Apr 26, 2024, 12:00PM","35"
"Elliot Anderson","NEW","M","Claim","NOAD Athletic","6.00","4","Fri Apr 26, 2024, 12:00PM","35"
"Enzo Fernandez","CHE","M,F","Drop","NOAD Athletic","","4","Fri Apr 26, 2024, 12:00PM","35"
"Dean Henderson","MUN/CRY","G","Claim","Poor Man's Pirlo","21.00","7","Fri Apr 26, 2024, 12:00PM","35"
"Andre Onana","MUN","G","Drop","Poor Man's Pirlo","","7","Fri Apr 26, 2024, 12:00PM","35"
"Timothy Castagne","LEI/FUL","D,M","Claim","Nimma Koempels","2.00","2","Fri Apr 26, 2024, 12:00PM","35"
"Milos Kerkez","BOU","D","Drop","Nimma Koempels","","2","Fri Apr 26, 2024, 12:00PM","35"
"Ben Davies","TOT","D,M","Claim","Sjeeterboys","12.00","2","Fri Apr 26, 2024, 12:00PM","35"
"Destiny Udogie","TOT","D","Drop","Sjeeterboys","","2","Fri Apr 26, 2024, 12:00PM","35"
"Nick Pope","NEW","G","Claim","Klimmania","1.00","2","Fri Apr 26, 2024, 12:00PM","35"
"Lloyd Kelly","BOU","D","Drop","Klimmania","","2","Fri Apr 26, 2024, 12:00PM","35"
"Gustavo Hamer","SHU","M,F","Claim","NOAD Athletic","12.00","3","Fri Apr 26, 2024, 12:00PM","35"
"Willian","FUL","M,F","Drop","NOAD Athletic","","3","Fri Apr 26, 2024, 12:00PM","35"
"Kyle Walker","MCI","D","Claim","Poor Man's Pirlo","47.00","4","Fri Apr 26, 2024, 12:00PM","35"
"David Datro Fofana","CHE/BUR","F","Drop","Poor Man's Pirlo","","4","Fri Apr 26, 2024, 12:00PM","35"
"Antoine Semenyo","BOU","M,F","Claim","One Season Wonderers","46.00","2","Fri Apr 26, 2024, 12:00PM","35"
"Callum Hudson-Odoi","CHE/NOT","M,F","Drop","One Season Wonderers","","2","Fri Apr 26, 2024, 12:00PM","35"
"Dominic Calvert-Lewin","EVE","F","Claim","Sjeeterboys","34.00","1","Fri Apr 26, 2024, 12:00PM","35"
"Morgan Rogers","MCI/AVL","M,F","Drop","Sjeeterboys","","1","Fri Apr 26, 2024, 12:00PM","35"
"Thiago Silva","CHE","D","Claim","Poor Man's Pirlo","45.00","1","Fri Apr 26, 2024, 12:00PM","35"
"Diogo Jota","LIV","F","Drop","Poor Man's Pirlo","","1","Fri Apr 26, 2024, 12:00PM","35"
"Guglielmo Vicario","TOT","G","Claim","One Season Wonderers","21.00","1","Fri Apr 26, 2024, 12:00PM","35"
"Neto","BOU","G","Drop","One Season Wonderers","","1","Fri Apr 26, 2024, 12:00PM","35"
"Nayef Aguerd","WHU","D","Claim","Nimma Koempels","4.00","16","Fri Apr 19, 2024, 12:00PM","34"
"Pau Torres","AVL","D","Drop","Nimma Koempels","","16","Fri Apr 19, 2024, 12:00PM","34"
"Michael Keane","EVE","D","Claim","László Hofnár","23.00","4","Fri Apr 19, 2024, 12:00PM","34"
"Kurt Zouma","WHU","D","Drop","László Hofnár","","4","Fri Apr 19, 2024, 12:00PM","34"
"Josh Cullen","BUR","M","Claim","Nimma Koempels","0.00","15","Fri Apr 19, 2024, 12:00PM","34"
"Timothy Castagne","LEI/FUL","D,M","Drop","Nimma Koempels","","15","Fri Apr 19, 2024, 12:00PM","34"
"Christian Norgaard","BRF","M","Claim","Sjeeterboys","10.00","5","Fri Apr 19, 2024, 12:00PM","34"
"Antoine Semenyo","BOU","M,F","Drop","Sjeeterboys","","5","Fri Apr 19, 2024, 12:00PM","34"
"Ederson","MCI","G","Claim","NOAD Athletic","12.00","3","Fri Apr 19, 2024, 12:00PM","34"
"Guglielmo Vicario","TOT","G","Drop","NOAD Athletic","","3","Fri Apr 19, 2024, 12:00PM","34"
"Beto","EVE","F","Claim","László Hofnár","25.00","3","Fri Apr 19, 2024, 12:00PM","34"
"Dominic Calvert-Lewin","EVE","F","Drop","László Hofnár","","3","Fri Apr 19, 2024, 12:00PM","34"
"Leandro Trossard","ARS","M,F","Claim","Nimma Koempels","0.00","8","Fri Apr 19, 2024, 12:00PM","34"
"Anel Ahmedhodzic","SHU","D","Drop","Nimma Koempels","","8","Fri Apr 19, 2024, 12:00PM","34"
"Daniel Munoz","CRY","D,M","Claim","Mövenpickje FC","25.00","2","Fri Apr 19, 2024, 12:00PM","34"
"Thiago Silva","CHE","D","Drop","Mövenpickje FC","","2","Fri Apr 19, 2024, 12:00PM","34"
"Santiago Bueno","WOL","D","Claim","NOAD Athletic","12.00","2","Fri Apr 19, 2024, 12:00PM","34"
"Kristoffer Ajer","BRF","D","Drop","NOAD Athletic","","2","Fri Apr 19, 2024, 12:00PM","34"
"Dango Ouattara","BOU","D,M,F","Claim","László Hofnár","26.00","2","Fri Apr 19, 2024, 12:00PM","34"
"Tariq Lamptey","BHA","D,M","Drop","László Hofnár","","2","Fri Apr 19, 2024, 12:00PM","34"
"Milos Kerkez","BOU","D","Claim","Nimma Koempels","0.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Vladimir Coufal","WHU","D,M","Drop","Nimma Koempels","","1","Fri Apr 19, 2024, 12:00PM","34"
"Sergio Reguilon","TOT/MUN/BRF","D,M","Claim","One Season Wonderers","22.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Rico Lewis","MCI","D,M","Drop","One Season Wonderers","","1","Fri Apr 19, 2024, 12:00PM","34"
"Justin Kluivert","BOU","M,F","Claim","BarcelOna '53","2.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Levi Colwill","CHE","D","Drop","BarcelOna '53","","1","Fri Apr 19, 2024, 12:00PM","34"
"Oliver Arblaster","SHU","M","Claim","Mövenpickje FC","31.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Marcus Tavernier","BOU","M","Drop","Mövenpickje FC","","1","Fri Apr 19, 2024, 12:00PM","34"
"Toti","WOL","D","Claim","László Hofnár","21.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Mark Flekken","BRF","G","Drop","László Hofnár","","1","Fri Apr 19, 2024, 12:00PM","34"
"Adam Wharton","CRY","M","Claim","Poor Man's Pirlo","33.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Jack Grealish","MCI","M,F","Drop","Poor Man's Pirlo","","1","Fri Apr 19, 2024, 12:00PM","34"
"Ben Osborn","SHU","M","Claim","Athletic Club Bapao","8.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Jose Sa","WOL","G","Drop","Athletic Club Bapao","","1","Fri Apr 19, 2024, 12:00PM","34"
"Chris Richards","CRY","D,M","Claim","Klimmania","3.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Murillo","NOT","D,M","Drop","Klimmania","","1","Fri Apr 19, 2024, 12:00PM","34"
"Maxime Esteve","BUR","D","Claim","Sjeeterboys","4.00","1","Fri Apr 19, 2024, 12:00PM","34"
"Lewis Hall","CHE/NEW","D,M","Drop","Sjeeterboys","","1","Fri Apr 19, 2024, 12:00PM","34"
"Aaron Wan-Bissaka","MUN","D","Claim","Redford United","0.00","5","Fri Apr 12, 2024, 12:00PM","33"
"Jack Robinson","SHU","D","Drop","Redford United","","5","Fri Apr 12, 2024, 12:00PM","33"
"Ola Aina","NOT","D,M","Claim","Nimma Koempels","0.00","6","Fri Apr 12, 2024, 12:00PM","33"
"Jacob Ramsey","AVL","M","Drop","Nimma Koempels","","6","Fri Apr 12, 2024, 12:00PM","33"
"Jean-Philippe Mateta","CRY","F","Claim","Redford United","0.00","4","Fri Apr 12, 2024, 12:00PM","33"
"John Stones","MCI","D,M","Drop","Redford United","","4","Fri Apr 12, 2024, 12:00PM","33"
"Anel Ahmedhodzic","SHU","D","Claim","Nimma Koempels","0.00","4","Fri Apr 12, 2024, 12:00PM","33"
"Nayef Aguerd","WHU","D","Drop","Nimma Koempels","","4","Fri Apr 12, 2024, 12:00PM","33"
"Bart Verbruggen","BHA","G","Claim","Redford United","0.00","3","Fri Apr 12, 2024, 12:00PM","33"
"Thomas Kaminski","LUT","G","Drop","Redford United","","3","Fri Apr 12, 2024, 12:00PM","33"
"Lewis Hall","CHE/NEW","D,M","Claim","Sjeeterboys","5.00","7","Fri Apr 12, 2024, 12:00PM","33"
"Joel Veltman","BHA","D","Drop","Sjeeterboys","","7","Fri Apr 12, 2024, 12:00PM","33"
"Teden Mengi","MUN/LUT","D","Claim","Klimmania","1.00","3","Fri Apr 12, 2024, 12:00PM","33"
"Jacob Murphy","NEW","M,F","Drop","Klimmania","","3","Fri Apr 12, 2024, 12:00PM","33"
"Lukasz Fabianski","WHU","G","Claim","Nimma Koempels","0.00","2","Fri Apr 12, 2024, 12:00PM","33"
"James Trafford","BUR","G","Drop","Nimma Koempels","","2","Fri Apr 12, 2024, 12:00PM","33"
"Antony","MUN","M,F","Claim","Sjeeterboys","7.00","3","Fri Apr 12, 2024, 12:00PM","33"
"Julio Enciso","BHA","M,F","Drop","Sjeeterboys","","3","Fri Apr 12, 2024, 12:00PM","33"
"Wilson Odobert","BUR","M,F","Claim","Klimmania","1.00","2","Fri Apr 12, 2024, 12:00PM","33"
"Jhon Duran","AVL","F","Drop","Klimmania","","2","Fri Apr 12, 2024, 12:00PM","33"
"Rico Lewis","MCI","D,M","Claim","One Season Wonderers","36.00","1","Fri Apr 12, 2024, 12:00PM","33"
"Christian Norgaard","BRF","M","Drop","One Season Wonderers","","1","Fri Apr 12, 2024, 12:00PM","33"
"David Raya","BRF/ARS","G","Claim","Sjeeterboys","19.00","4","Fri Apr 12, 2024, 12:00PM","33"
"Caoimhin Kelleher","LIV","G","Drop","Sjeeterboys","","4","Fri Apr 12, 2024, 12:00PM","33"
"Jack Grealish","MCI","M,F","Claim","Poor Man's Pirlo","29.00","1","Fri Apr 12, 2024, 12:00PM","33"
"Lucas Digne","AVL","D","Drop","Poor Man's Pirlo","","1","Fri Apr 12, 2024, 12:00PM","33"
"Oliver McBurnie","SHU","F","Claim","NOAD Athletic","33.00","1","Fri Apr 12, 2024, 12:00PM","33"
"Michail Antonio","WHU","F","Drop","NOAD Athletic","","1","Fri Apr 12, 2024, 12:00PM","33"
"Jacob Murphy","NEW","M,F","Claim","Klimmania","5.00","14","Fri Apr 5, 2024, 12:00PM","32"
"Ben Brereton","SHU","M,F","Drop","Klimmania","","14","Fri Apr 5, 2024, 12:00PM","32"
"Jhon Duran","AVL","F","Claim","Klimmania","1.00","10","Fri Apr 5, 2024, 12:00PM","32"
"Jean-Philippe Mateta","CRY","F","Drop","Klimmania","","10","Fri Apr 5, 2024, 12:00PM","32"
"Reece James","CHE","D,M","Claim","NOAD Athletic","24.00","6","Fri Apr 5, 2024, 12:00PM","32"
"Dango Ouattara","BOU","D,M,F","Drop","NOAD Athletic","","6","Fri Apr 5, 2024, 12:00PM","32"
"Thomas Kaminski","LUT","G","Claim","Redford United","0.00","3","Fri Apr 5, 2024, 12:00PM","32"
"Ederson","MCI","G","Drop","Redford United","","3","Fri Apr 5, 2024, 12:00PM","32"
"Lloyd Kelly","BOU","D","Claim","Klimmania","1.00","7","Fri Apr 5, 2024, 12:00PM","32"
"Chris Richards","CRY","D,M","Drop","Klimmania","","7","Fri Apr 5, 2024, 12:00PM","32"
"Michail Antonio","WHU","F","Claim","NOAD Athletic","19.00","5","Fri Apr 5, 2024, 12:00PM","32"
"Youri Tielemans","AVL","M,F","Drop","NOAD Athletic","","5","Fri Apr 5, 2024, 12:00PM","32"
"Zanka","BRF","D","Claim","László Hofnár","6.00","5","Fri Apr 5, 2024, 12:00PM","32"
"Jakub Kiwior","ARS","D","Drop","László Hofnár","","5","Fri Apr 5, 2024, 12:00PM","32"
"Callum Hudson-Odoi","CHE/NOT","M,F","Claim","One Season Wonderers","17.00","2","Fri Apr 5, 2024, 12:00PM","32"
"Kyle Walker","MCI","D","Drop","One Season Wonderers","","2","Fri Apr 5, 2024, 12:00PM","32"
"Dominic Calvert-Lewin","EVE","F","Claim","László Hofnár","25.00","3","Fri Apr 5, 2024, 12:00PM","32"
"Craig Dawson","WOL","D","Drop","László Hofnár","","3","Fri Apr 5, 2024, 12:00PM","32"
"Morgan Rogers","MCI/AVL","M,F","Claim","Sjeeterboys","6.00","4","Fri Apr 5, 2024, 12:00PM","32"
"Ryan Yates","NOT","M","Drop","Sjeeterboys","","4","Fri Apr 5, 2024, 12:00PM","32"
"Martin Dubravka","NEW","G","Claim","Klimmania","6.00","3","Fri Apr 5, 2024, 12:00PM","32"
"Alphonse Areola","WHU","G","Drop","Klimmania","","3","Fri Apr 5, 2024, 12:00PM","32"
"Tariq Lamptey","BHA","D,M","Claim","László Hofnár","21.00","2","Fri Apr 5, 2024, 12:00PM","32"
"Matty Cash","AVL","D,M","Drop","László Hofnár","","2","Fri Apr 5, 2024, 12:00PM","32"
"Kristoffer Ajer","BRF","D","Claim","NOAD Athletic","18.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Chris Mepham","BOU","D","Drop","NOAD Athletic","","1","Fri Apr 5, 2024, 12:00PM","32"
"Joel Veltman","BHA","D","Claim","Sjeeterboys","25.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Jamaal Lascelles","NEW","D","Drop","Sjeeterboys","","1","Fri Apr 5, 2024, 12:00PM","32"
"Harry Maguire","MUN","D","Claim","Klimmania","5.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Joseph Gomez","LIV","D","Drop","Klimmania","","1","Fri Apr 5, 2024, 12:00PM","32"
"Mykhailo Mudryk","CHE","M,F","Claim","László Hofnár","14.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Ben Davies","TOT","D,M","Drop","László Hofnár","","1","Fri Apr 5, 2024, 12:00PM","32"
"Jose Sa","WOL","G","Claim","Athletic Club Bapao","5.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Alex Moreno","AVL","D","Drop","Athletic Club Bapao","","1","Fri Apr 5, 2024, 12:00PM","32"
"Harvey Barnes","NEW","M,F","Claim","Poor Man's Pirlo","73.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Raheem Sterling","CHE","M,F","Drop","Poor Man's Pirlo","","1","Fri Apr 5, 2024, 12:00PM","32"
"James Trafford","BUR","G","Claim","Nimma Koempels","0.00","1","Fri Apr 5, 2024, 12:00PM","32"
"Sam Johnstone","CRY","G","Drop","Nimma Koempels","","1","Fri Apr 5, 2024, 12:00PM","32"
"Jack Robinson","SHU","D","Claim","Redford United","0.00","8","Fri Mar 29, 2024, 11:00AM","30"
"Callum Hudson-Odoi","CHE/NOT","M,F","Drop","Redford United","","8","Fri Mar 29, 2024, 11:00AM","30"
"Manuel Akanji","MCI","D,M","Claim","Redford United","0.00","5","Fri Mar 29, 2024, 11:00AM","30"
"Emerson Royal","TOT","D,M","Drop","Redford United","","5","Fri Mar 29, 2024, 11:00AM","30"
"Ben Brereton","SHU","M,F","Claim","Klimmania","0.00","5","Fri Mar 29, 2024, 11:00AM","30"
"Zanka","BRF","D","Drop","Klimmania","","5","Fri Mar 29, 2024, 11:00AM","30"
"Thiago Silva","CHE","D","Claim","Mövenpickje FC","21.00","2","Fri Mar 29, 2024, 11:00AM","30"
"Teden Mengi","MUN/LUT","D","Drop","Mövenpickje FC","","2","Fri Mar 29, 2024, 11:00AM","30"
"Jean-Philippe Mateta","CRY","F","Claim","Klimmania","11.00","1","Fri Mar 29, 2024, 11:00AM","30"
"Harry Maguire","MUN","D","Drop","Klimmania","","1","Fri Mar 29, 2024, 11:00AM","30"
"Josko Gvardiol","MCI","D","Claim","Poor Man's Pirlo","25.00","1","Fri Mar 29, 2024, 11:00AM","30"
"Taiwo Awoniyi","NOT","F","Drop","Poor Man's Pirlo","","1","Fri Mar 29, 2024, 11:00AM","30"
"Kurt Zouma","WHU","D","Claim","László Hofnár","7.00","1","Fri Mar 29, 2024, 11:00AM","30"
"Sven Botman","NEW","D","Drop","László Hofnár","","1","Fri Mar 29, 2024, 11:00AM","30"
"Joao Gomes","WOL","M","Claim","NOAD Athletic","16.00","1","Fri Mar 29, 2024, 11:00AM","30"
"Josh Brownhill","BUR","M","Drop","NOAD Athletic","","1","Fri Mar 29, 2024, 11:00AM","30"
"Jordan Pickford","EVE","G","Claim","Mövenpickje FC","31.00","1","Fri Mar 29, 2024, 11:00AM","30"
"James Trafford","BUR","G","Drop","Mövenpickje FC","","1","Fri Mar 29, 2024, 11:00AM","30"
"Nelson Semedo","WOL","D,M","Claim","One Season Wonderers","13.00","8","Fri Mar 22, 2024, 11:00AM","30"
"Sergio Reguilon","TOT/MUN/BRF","D,M","Drop","One Season Wonderers","","8","Fri Mar 22, 2024, 11:00AM","30"
"Trevoh Chalobah","CHE","D","Claim","Redford United","2.00","3","Fri Mar 22, 2024, 11:00AM","30"
"Josh Cullen","BUR","M","Drop","Redford United","","3","Fri Mar 22, 2024, 11:00AM","30"
"Christian Norgaard","BRF","M","Claim","One Season Wonderers","17.00","6","Fri Mar 22, 2024, 11:00AM","30"
"Moussa Diaby","AVL","M,F","Drop","One Season Wonderers","","6","Fri Mar 22, 2024, 11:00AM","30"
"Djordje Petrovic","CHE","G","Claim","BarcelOna '53","3.00","8","Fri Mar 22, 2024, 11:00AM","30"
